station,latitude,longitude
LSH,40.792942,-122.039429
LSI,40.396595,-121.423134
LSL,40.426987,-121.53463
LSM,40.279812,-121.302826
LSR,41.106956,-122.270615
LSS,41.514,-121.612
LTC,40.208519,-122.125618
LTI,41.176098,-121.488792
LTN,41.605499,-121.918831
LVR,40.039371,-122.672501
LWD,40.611832,-122.527336
LWH,40.641796,-121.94857
LWHB,40.6415,-121.94737
MAT,37.873333,-119.866669
MBE,36.745384,-119.28286
MBM,37.78348,-118.90163
MBO,37.684986,-120.370773
MBS1,37.761024,-118.944542
MBU,37.559734,-120.075615
MBUB,37.55932,-120.07555
MBY,37.640835,-118.935837
MCB,37.644394,-118.896835
MCD,37.54805,-118.443352
MCH,38.018665,-120.509499
MCL,37.590321,-118.825233
MCM,37.609234,-118.873352
MCN,37.633835,-118.92717
MCO,37.618992,-118.862953
MCR,37.677666,-118.785004
MCS,37.654873,-118.905762
MCU,37.97316,-120.619453
MCUB,37.975384,-120.620247
MCV,37.590027,-118.829109
MCW,37.644165,-118.928169
MCY,37.642929,-119.029137
MDC,37.70969,-119.041832
MDH,37.679752,-118.908821
MDH1,37.679752,-118.908821
MDP,37.632462,-119.07972
MDP1,37.632462,-119.07972
MDPB,37.632267,-119.079353
MDR,37.637959,-118.835876
MDW,37.631332,-118.916168
MDY,37.658039,-119.012154
MEM,37.666042,-118.939774
MFB,37.429314,-118.428917
MGP,37.626419,-118.902519
MGPB,37.62608,-118.902885
MGS,36.85805,-119.92023
MHD,37.117069,-119.894958
MILG,37.621334,-118.987167
MINS,37.65377,-119.060928
MLC,37.61211,-118.915283
MLH,37.678551,-118.814964
MLI,37.636761,-119.017906
MLK,37.664082,-118.976524
MLL,37.578835,-118.904999
MLM,37.728031,-118.94693
MLR,38.091385,-120.162529
MMI,37.419617,-119.743813
MML,37.655998,-118.977997
MMLB,37.659092,-118.979065
MMP,37.609707,-119.028702
MMS,37.630375,-119.031746
MMT,37.376038,-119.179619
MMW,38.063835,-120.181503
MMX1,37.617115,-118.959755
MNH,38.145729,-120.814796
MNHB,38.145866,-120.813614
MNP,37.414833,-119.727997
MOG,37.491665,-118.503166
MOY,37.89957,-120.569069
MPARD,38.255131,-120.848907
MPR,37.80431,-120.014099
MQ1P,37.612782,-119.021309
MQ2P,37.643108,-119.029099
MQ3P,37.61713,-119.006866
MRC,37.67374,-118.50708
MRD,37.59779,-119.058701
MRF,38.245167,-120.518166
MRH,36.286282,-119.087105
MRS,37.510666,-118.882164
MSK,37.652885,-119.024628
MSL,37.616718,-118.956573
MST,37.903996,-120.407097
MSV,38.2299,-120.613983
MSVB,38.229962,-120.614163
MTC,37.63155,-118.966064
MTL,37.62471,-120.57217
MTU,37.352882,-118.563263
MWB,37.16832,-118.337975
MYL,37.383492,-120.420525
MYM,37.6255,-118.936165
N001,37.960415,-122.494141
N002,38.182613,-122.140739
N003,38.108955,-122.553757
N004,38.449047,-122.661362
N005,38.534065,-122.788361
N006,38.406288,-122.709152
N007,38.446449,-122.69519
N008,38.428444,-122.682053
N009,38.351433,-122.631638
N010,38.45293,-122.7593
N011,38.303661,-122.680763
N012,38.313808,-122.490303
N013,38.299305,-122.550179
N014,38.247311,-122.609909
N015,38.447731,-122.720093
N016,38.298752,-122.284843
N017,38.05299,-122.658661
N018,38.096916,-122.854378
N019,38.301113,-122.401283
N019B,38.300953,-122.401543
N020,38.296391,-122.2948
N021,38.297359,-122.287453
N022,37.878597,-122.457253
NAD,38.459942,-121.970421
NAP,38.438164,-122.249924
NAPB,38.439056,-122.252266
NAPC,38.439507,-122.252716
NBC,38.34385,-122.83392
NBO,37.92144,-122.718056
NBP,38.668148,-122.194672
NBPB,38.667877,-122.193963
NBR,38.261005,-122.550987
NBRB,38.260208,-122.551788
NCC,38.001984,-122.47467
NCF,38.321144,-122.796173
NCP,38.78587,-122.123947
NCT,37.997211,-122.61573
NDH,38.765438,-121.912949
NEA,38.309883,-122.943001
NEH,38.336559,-122.810822
NFI,37.698334,-123.001282
NFR,38.522694,-123.162064
NFRB,38.522823,-123.162026
NFV,38.46769,-122.896507
NFVB,38.46604,-122.896387
NGI,38.11945,-121.95544
NGV,38.280666,-122.215233
NGVB,38.28043,-122.21582
NHB,38.589333,-122.908997
NHC,38.21748,-122.357674
NHF,38.049622,-122.523315
NHM,38.154861,-121.804382
NHS,38.656517,-122.614418
NHV,38.164879,-122.712959
NIM,38.561607,-122.265373
NIMB,38.561417,-122.265404
NKPH,38.095919,-122.948013
NLB,38.7427,-122.553063
NLH,38.122814,-122.149216
NLL,38.85146,-122.26834
NLN,38.152599,-122.713341
NMB,38.76294,-121.9295
NMC,38.59095,-122.912857
NMH,38.669399,-122.633194
NMI,38.076012,-122.258499
NMK,38.2813,-122.08312
NMT,38.805771,-122.447693
NMTB,38.805685,-122.447567
NMW,38.550346,-122.723236
NNI,38.073259,-122.706851
NOCG,37.6875,-118.918999
NOL,38.04026,-122.79467
NOLB,38.04248,-122.796837
NPR,37.996521,-123.017685
NPRB,37.996422,-123.019493
NPV,38.642693,-122.4272
NRL,37.835102,-122.537384
NRR,38.53056,-122.096283
NSC,38.57202,-122.252243
NSH,38.519852,-122.608231
NSM,38.348785,-122.57795
NSP,38.200253,-122.464401
NTA,37.923054,-122.598305
NTAB,37.923069,-122.598289
NTAC,37.923717,-122.596481
NTB,38.24741,-122.931442
NTO,38.143608,-122.449692
NTR,38.240391,-122.798424
NTY,38.389133,-122.662704
NTYB,38.38921,-122.662971
NVA,38.415592,-122.116493
NVC,38.400493,-122.106353
NVE,38.376266,-122.44503
NWL,38.657318,-121.714598
NWR,38.457073,-122.88842
NWS,38.62996,-122.40126
O001,39.506935,-121.608658
OBH,39.652721,-121.463211
OBHB,39.65176,-121.461945
OCH,39.875832,-121.765503
OCM,39.524242,-121.623672
OCR,39.867935,-121.751839
OGO,39.653793,-121.613235
OHC,39.335896,-121.485306
ORA,39.468891,-121.415016
ORD,39.554745,-121.500336
OST,39.371059,-121.58577
OSU,39.270485,-121.853065
OWY,39.453388,-121.487549
PAB,35.157284,-120.637596
PABB,35.15892,-120.639915
PAD,35.640049,-120.866219
PADB,35.641117,-120.866577
PAG,35.732487,-120.250351
PAGB,35.730652,-120.249863
PAN,35.780058,-120.907148
PAP,35.895832,-121.365509
PAR,36.249279,-120.342773
PAV,35.175835,-120.6325
PBC,36.32026,-120.95414
PBI,35.161404,-120.474968
PBIB,35.161415,-120.475174
PBM,35.394451,-120.353897
PBO,35.68674,-120.00061
PBP,35.579121,-120.077484
PBR,35.5485,-121.009003
PBS,35.745735,-120.149017
PBW,36.316666,-120.930893
PBY,35.814999,-121.081497
PCA,35.931488,-120.338257
PCB,35.518387,-121.06057
PCC,36.089767,-121.163612
PCE,36.01585,-120.29402
PCG,35.425251,-120.74115
PCH,35.888889,-120.427559
PCHB,35.888462,-120.427284
PCHC,35.888889,-120.427559
PCHD,35.888139,-120.430514
PCM,35.8055,-120.40963
PCR,36.093887,-120.435753
PD01,38.255131,-120.848907
PDR,36.335754,-120.370026
PDRB,36.334083,-120.368897
PFR,35.910728,-120.487366
PG1,35.832668,-120.344833
PG2,35.834499,-120.343834
PGC,35.177834,-120.616333
PGH,35.830761,-120.353844
PGW,35.183834,-120.626999
PHA,35.836178,-120.398613
PHB,36.248451,-120.084389
PHC,35.682285,-121.153671
PHF,35.881638,-120.401558
PHG,35.875999,-120.483498
PHO,35.866665,-120.479713
PHOB,35.866611,-120.479607
PHOC,35.866745,-120.479567
PHP,35.980545,-120.606827
PHR,36.373028,-120.818947
PHS,35.823799,-121.053764
PHSB,35.824039,-121.053932
PIR,35.554401,-120.223343
PIV,35.906502,-120.682335
PJC,36.095871,-120.371613
PJL,36.090462,-121.158112
PJU,36.226974,-120.593521
PKE,36.061031,-120.109634
PKL,35.77298,-120.339943
PKY,35.264008,-120.666672
PKYB,35.263928,-120.667167
PL11,35.97398,-120.551201
PL11B,35.974468,-120.551582
PL11C,35.974435,-120.551609
PL21,35.974339,-120.551369
PL31,35.974339,-120.551369
PL41,35.974339,-120.551369
PLO,36.246326,-121.042953
PMC,35.725224,-120.370621
PMG,35.429794,-120.520065
PML,34.894722,-120.609268
PMM,35.956329,-120.498489
PMP,36.215664,-120.797394
PMPB,36.215904,-120.801262
PMR,35.784294,-120.236755
POP,35.738907,-120.133446
PPB,35.260967,-120.8862
PPBB,35.26077,-120.886384
PPC,35.949669,-120.595352
PPF,35.881832,-120.413498
PPG,35.862637,-119.956451
PPO,35.866665,-120.615959
PPR,35.647667,-120.700668
PPT,36.109127,-120.724228
PPTB,36.106767,-120.748847
PRC,36.255314,-120.618149
PRP,36.000832,-120.476669
PSA,36.024658,-120.889236
PSAB,36.02486,-120.889267
PSC,35.588333,-120.426331
PSE,35.245167,-120.764664
PSH,35.590832,-120.415337
PSM,36.068806,-120.596184
PSN,35.787762,-120.295067
PSO,35.920746,-121.370526
PSR,35.856228,-120.280357
PST,35.93071,-120.514755
PTA,35.392475,-120.707794
PTF,35.894165,-120.410004
PTQ,34.581875,-120.573975
PTR,35.654152,-120.213318
PVAA,34.585106,-120.634758
PVAB,34.644592,-120.58963
PVAC,34.720253,-120.532753
PVAD,34.746517,-120.606453
PVC,35.922073,-120.534988
PWH,35.951355,-121.001669
PWK,35.814495,-120.511948
PWM,36.432682,-120.212364
RWSVT,37.941719,-122.262207
SN01,38.304588,-122.3396
SN02,38.30624,-122.335701
SN03,38.308868,-122.347298
SN04,38.313141,-122.344902
SN05,38.309261,-122.325104
SN06,38.306419,-122.314201
SN07,38.30571,-122.301003
SN09,38.299721,-122.288803
SN10,38.30275,-122.288803
SN11,38.295841,-122.285301
VCL,42.878502,-122.120163
VRC,42.329449,-122.227692
VSP,42.341637,-121.949905
VWB,43.913666,-121.554497
WMP,35.640587,-118.785698
WWVB,0,0
